name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params
gfish,8,512,8,64,1024,84.966511104,187757290,50407696
gfish,8,512,8,64,2048,209.990111744,187757290,50407696
gfish,8,512,8,64,4096,574.351050752,187757290,50407696
gfish,8,512,8,64,8192,1761.6870528,187757290,50407696
gfish,8,1024,8,128,128,22.305588992,408766186,134334736
gfish,8,1024,8,128,256,44.932686848,408766186,134334736
gfish,8,1024,8,128,512,92.632207872,408766186,134334736
gfish,8,1024,8,128,1024,202.129276928,408766186,134334736
gfish,8,1024,8,128,2048,480.109765632,408766186,134334736
gfish,8,1024,8,128,4096,1251.781316608,408766186,134334736
gfish,8,1024,8,128,8192,3660.173059072,408766186,134334736
gfish,8,2048,8,256,128,61.757652736,951447274,402852112
gfish,8,2048,8,256,256,124.090894336,951447274,402852112
gfish,8,2048,8,256,512,253.450221568,951447274,402852112
gfish,8,2048,8,256,1024,539.56602368,951447274,402852112
gfish,8,2048,8,256,2048,1226.507503616,951447274,402852112
gfish,8,2048,8,256,4096,3018.958708736,951447274,402852112
gfish,8,2048,8,256,8192,8284.018792448,951447274,402852112
gfish,8,4096,8,512,128,192.200907776,2439462634,1342540048
gfish,8,4096,8,512,256,385.488124416,2439462634,1342540048
gfish,8,4096,8,512,512,781.225479168,2439462634,1342540048
gfish,8,4096,8,512,1024,1626.7403776,2439462634,1342540048
gfish,8,4096,8,512,2048,3543.936700416,2439462634,1342540048
gfish,8,4096,8,512,4096,8201.940934656,2439462634,1342540048
gfish,8,4096,8,512,8192,20828.645142528,2439462634,1342540048


