,name_method,num_global_heads,d_model,num_local_heads,d_head,sequence_len,flops,params,non_embed_params,test_flops,train_flops
235,fish,2,2048,8,256,2048,909.75288064,850781930,302186768,909.75288064,2729.2780242518993
236,fish,2,2048,8,256,4096,2164.257077248,850781930,302186768,2164.257077248,6511.993967580895
237,fish,2,2048,8,256,8192,5689.685987328,850781930,302186768,5689.685987328,17034.50559031236
238,fish,2,4096,8,512,128,139.826740096,2036807402,939884816,139.826740096,419.8751835983667
239,fish,2,4096,8,512,256,279.0698688,2036807402,939884816,279.0698688,837.5424193265648
240,fish,2,4096,8,512,512,561.716486912,2036807402,939884816,561.716486912,1685.118252609202
241,fish,2,4096,8,512,1024,1161.000468992,2036807402,939884816,1161.000468992,3476.7196113753366
242,fish,2,4096,8,512,2048,2505.626786816,2036807402,939884816,2505.626786816,7503.081432777888
243,fish,2,4096,8,512,4096,5698.28872192,2036807402,939884816,5698.28872192,17137.293323768343
244,fish,2,4096,8,512,8192,14110.651174912,2036807402,939884816,14110.651174912,42303.00134123443
245,gfish,4,256,8,32,128,3.814808,88786666,19978000,3.814808,11.44244619535956
246,gfish,4,256,8,32,256,7.676459648,88786666,19978000,7.676459648,23.042562706281938
247,gfish,4,256,8,32,512,15.910045568,88786666,19978000,15.910045568,47.7548005295323
248,gfish,4,256,8,32,1024,35.501817344,88786666,19978000,35.501817344,106.17903203151093
249,gfish,4,256,8,32,2048,87.81312128,88786666,19978000,87.81312128,263.2625208997127
250,gfish,4,256,8,32,4096,239.930623488,88786666,19978000,239.930623488,722.0249983305521
251,gfish,4,256,8,32,8192,734.813591808,88786666,19978000,734.813591808,2200.2131578237118
252,gfish,4,512,8,64,128,8.409780544,183562474,46212880,8.409780544,25.28767550059734
253,gfish,4,512,8,64,256,16.862868736,183562474,46212880,16.862868736,50.673931989400344
254,gfish,4,512,8,64,512,34.638503424,183562474,46212880,34.638503424,103.98600123477912
255,gfish,4,512,8,64,1024,75.837872896,183562474,46212880,75.837872896,227.50502743589146
